"Title","driv_type","ES"
"Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain)","LU_LC","HabCreate"
"Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain)","LU_LC","Pollination"
"Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain)","LU_LC","SoilProtect"
"Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain)","LU_LC","Hazards"
"Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain)","LU_LC","MedGen"
"Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain)","LU_LC","CulturePsych"
"Temporal variation and spatial scale dependency of ecosystem service interactions: a case study on the central Loess Plateau of China","Environmental","ClimReg"
"Temporal variation and spatial scale dependency of ecosystem service interactions: a case study on the central Loess Plateau of China","Environmental","freshWQReg"
"Temporal variation and spatial scale dependency of ecosystem service interactions: a case study on the central Loess Plateau of China","Environmental","CulturePsych"
"Temporal variation and spatial scale dependency of ecosystem service interactions: a case study on the central Loess Plateau of China","LU_LC","HabCreate"
"Temporal variation and spatial scale dependency of ecosystem service interactions: a case study on the central Loess Plateau of China","LU_LC","ClimReg"
"Temporal variation and spatial scale dependency of ecosystem service interactions: a case study on the central Loess Plateau of China","LU_LC","CulturePsych"
"Do landscape patterns reflect ecosystem service provision? - A comparison between protected and unprotected areas throughout the Lake Neusiedl region","LU_LC","HabCreate"
"Do landscape patterns reflect ecosystem service provision? - A comparison between protected and unprotected areas throughout the Lake Neusiedl region","LU_LC","ClimReg"
"Do landscape patterns reflect ecosystem service provision? - A comparison between protected and unprotected areas throughout the Lake Neusiedl region","LU_LC","Hazards"
"Do landscape patterns reflect ecosystem service provision? - A comparison between protected and unprotected areas throughout the Lake Neusiedl region","LU_LC","MedGen"
"Practical Challenges in Private Stewardship of Rangeland Ecosystems: Yellow Starthistle Control in Sierra Nevadan Foothills","Human","PestPath"
"The active microbial diversity drives ecosystem multifunctionality and is physiologically related to carbon availability in Mediterranean semi-arid soils","Biotic","ClimReg"
"The active microbial diversity drives ecosystem multifunctionality and is physiologically related to carbon availability in Mediterranean semi-arid soils","Environmental","ClimReg"
"Regional Conditions and Land-Use Alter the Potential Contribution of Soil Arthropods to Ecosystem Services in Grasslands","Biotic","SoilProtect"
"Regional Conditions and Land-Use Alter the Potential Contribution of Soil Arthropods to Ecosystem Services in Grasslands","LU_LC","SoilProtect"
"Fire, leaf harvest, and abiotic factors drive demography of an ecologically and culturally important understory plant","Human","Materials"
"Fire, leaf harvest, and abiotic factors drive demography of an ecologically and culturally important understory plant","Biotic","Materials"
"Fire, leaf harvest, and abiotic factors drive demography of an ecologically and culturally important understory plant","Environmental","Materials"
"Local loss and spatial homogenization of plant diversity reduce ecosystem multifunctionality","Environmental","ClimReg"
"Local loss and spatial homogenization of plant diversity reduce ecosystem multifunctionality","Environmental","SoilProtect"
"Local loss and spatial homogenization of plant diversity reduce ecosystem multifunctionality","Environmental","PestPath"
"Local loss and spatial homogenization of plant diversity reduce ecosystem multifunctionality","Biotic","ClimReg"
"Local loss and spatial homogenization of plant diversity reduce ecosystem multifunctionality","Biotic","SoilProtect"
"Local loss and spatial homogenization of plant diversity reduce ecosystem multifunctionality","Biotic","PestPath"
"Anthropogenic remediation of heavy metals selects against natural microbial remediation","Human","SoilProtect"
"Anthropogenic remediation of heavy metals selects against natural microbial remediation","Biotic","SoilProtect"
"Seasonal nitrous oxide emissions from different land uses and their controlling factors in a tropical riparian ecosystem","Environmental","AQReg"
"Seasonal nitrous oxide emissions from different land uses and their controlling factors in a tropical riparian ecosystem","LU_LC","AQReg"
"Measuring ecosystem capacity to provide regulating services: forest removal and recovery at Hubbard Brook (USA)","Human","ClimReg"
"Measuring ecosystem capacity to provide regulating services: forest removal and recovery at Hubbard Brook (USA)","Human","freshWQReg"
"Habitat assessment of a restored oyster reef in South Texas","Human","HabCreate"
"Habitat assessment of a restored oyster reef in South Texas","Human","Food"
"Landscape structure regulates pest control provided by ants in sun coffee farms","LU_LC","PestPath"
"Landscape structure regulates pest control provided by ants in sun coffee farms","Biotic","PestPath"
"Shadow conservation and the persistence of sacred church forests in northern Ethiopia","Human","MaintainOpts"
"An integrated ecosystem service assessment in an artificial desert oasis of northwestern China","LU_LC","ClimReg"
"An integrated ecosystem service assessment in an artificial desert oasis of northwestern China","Human","ClimReg"
"An integrated ecosystem service assessment in an artificial desert oasis of northwestern China","LU_LC","Food"
"An integrated ecosystem service assessment in an artificial desert oasis of northwestern China","Human","Food"
"Improving the provision of ecosystem services from urban forest by integrating the species' potential environmental functions in tree selecting process","Biotic","AQReg"
"Improving the provision of ecosystem services from urban forest by integrating the species' potential environmental functions in tree selecting process","Biotic","ClimReg"
"Spatial assessment of the impact of land use and land cover change on supply of ecosystem services in Phewa watershed, Nepal","LU_LC","ClimReg"
"Spatial assessment of the impact of land use and land cover change on supply of ecosystem services in Phewa watershed, Nepal","LU_LC","coastWQReg"
"Spatial assessment of the impact of land use and land cover change on supply of ecosystem services in Phewa watershed, Nepal","LU_LC","SoilProtect"
"Spatial assessment of the impact of land use and land cover change on supply of ecosystem services in Phewa watershed, Nepal","LU_LC","Materials"
"Spatial assessment of the impact of land use and land cover change on supply of ecosystem services in Phewa watershed, Nepal","LU_LC","CulturePsych"
"Large herbivores affect forest ecosystem functions by altering the structure of dung beetle communities","Biotic","SoilProtect"
"Large herbivores affect forest ecosystem functions by altering the structure of dung beetle communities","Environmental","SoilProtect"
"Re-orienting ecological restoration in degraded drylands for a more sustainable soil-water relationship: Non-linear boundary of limited water resources in combating soil loss","Environmental","SoilProtect"
"Re-orienting ecological restoration in degraded drylands for a more sustainable soil-water relationship: Non-linear boundary of limited water resources in combating soil loss","Human","SoilProtect"
"Re-orienting ecological restoration in degraded drylands for a more sustainable soil-water relationship: Non-linear boundary of limited water resources in combating soil loss","LU_LC","SoilProtect"
"Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability","Human","Energy"
"Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability","LU_LC","Pollination"
"Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability","LU_LC","coastWQReg"
"Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability","LU_LC","SoilProtect"
"Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability","Biotic","Pollination"
"Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability","Biotic","coastWQReg"
"Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability","Biotic","SoilProtect"
"Practices of conservation agriculture prevail over cropping systems and landscape heterogeneity in understanding the ecosystem service of aphid biocontrol","Human","PestPath"
"Practices of conservation agriculture prevail over cropping systems and landscape heterogeneity in understanding the ecosystem service of aphid biocontrol","Biotic","PestPath"
"Towards systematic conservation planning adapted to the local flow of ecosystem services","Human","ClimReg"
"Towards systematic conservation planning adapted to the local flow of ecosystem services","Human","freshWQReg"
"Towards systematic conservation planning adapted to the local flow of ecosystem services","Human","Food"
"Towards systematic conservation planning adapted to the local flow of ecosystem services","Human","MaintainOpts"
"Towards systematic conservation planning adapted to the local flow of ecosystem services","Human","CulturePsych"
"Mapping Watershed-Level Ecosystem Service Bundles in the Pearl River Delta, China","LU_LC","ClimReg"
"Mapping Watershed-Level Ecosystem Service Bundles in the Pearl River Delta, China","LU_LC","freshWQReg"
"Mapping Watershed-Level Ecosystem Service Bundles in the Pearl River Delta, China","LU_LC","SoilProtect"
"Mapping Watershed-Level Ecosystem Service Bundles in the Pearl River Delta, China","LU_LC","Food"
"Mapping Watershed-Level Ecosystem Service Bundles in the Pearl River Delta, China","LU_LC","CulturePsych"
"Mapping Watershed-Level Ecosystem Service Bundles in the Pearl River Delta, China","Environmental","ClimReg"
"Mapping Watershed-Level Ecosystem Service Bundles in the Pearl River Delta, China","Environmental","freshWQReg"
"Mapping Watershed-Level Ecosystem Service Bundles in the Pearl River Delta, China","Environmental","SoilProtect"
