EcoServ,Response,Key word,Notes,EF,ES,no selection,Proxy for ES
Hazards,maximum continuous period of tidal submergence,"Extreme events, Hydrology",,0,0,1,0
ClimReg,Broader habitat type,Habitat,,0,0,0,1
CulturePsych,habitat suitability,Habitat,,0,0,0,1
HabCreate,aquatic habitat potential,Habitat,new category,0,0,0,1
HabCreate,Bat and bird habitat,Habitat,new category,0,1,0,0
HabCreate,Broader habitat type,Habitat,,0,0,0,1
HabCreate,fish habitat,Habitat,,0,1,0,0
HabCreate,game fish habitat suitability index,Habitat,,0,0,0,1
HabCreate,habitat,Habitat,,0,1,0,0
HabCreate,Habitat capability index,Habitat,,0,0,0,1
HabCreate,habitat connectivity,Habitat,,2,1,0,0
HabCreate,habitat cover,Habitat,,0,0,0,1
HabCreate,habitat maintenance,Habitat,,0,1,0,0
HabCreate,habitat patch size,Habitat,,0,0,0,1
HabCreate,Habitat Provision,Habitat,,0,1,0,0
HabCreate,habitat quality,Habitat,,2,2,0,1
HabCreate,Habitat quality,Habitat,,0,0,1,0
HabCreate,Habitat sensitivity,Habitat,,1,0,0,0
HabCreate,landscape heterogeneity,Habitat,,0,0,0,1
HabCreate,multifunctional hotspots,Habitat,no idea,0,1,0,0
Hazards,Broader habitat type,Habitat,,0,0,0,1
MaintainOpts,habitat assessment score,Habitat,,0,0,0,1
MedGen,Broader habitat type,Habitat,,0,0,0,1
CulturePsych,health deprivation,Human health,,0,1,0,0
CulturePsych,health effects (physical - mental),Human health,,0,1,0,0
CulturePsych,human disease prevalence(6+types),Human health,,0,0,0,1
CulturePsych,noise reduction,Human health,,0,1,0,0
CulturePsych,generation of scientific knowledge,Human knowledge,,0,0,0,1
CulturePsych,information and knowledge,Human knowledge,,0,1,0,0
freshWQReg,groundwater quantity,Hydology,,0,0,0,1
coastWQReg,freshwater,hydrology,too vague,0,1,0,0
freshWQReg,groundwater exchange,Hydrology,,1,0,0,0
freshWQReg,Hydrologic function score (rangeland health assessment),Hydrology,,0,0,0,1
freshWQReg,Hydrologic regime,Hydrology,,1,0,0,0
freshWQReg,infiltration,Hydrology,,0,1,0,0
PestPath,Invasive species cover,Invasive species,,0,0,1,0
ClimReg,area burned by fire,Land cover,,0,0,0,1
CulturePsych,cultural sites of First Nations,Land cover,maybe,0,1,0,0
Food,cover,Land cover,maybe,1,0,0,0
Food,farmland,Land cover,or is it land use,0,0,1,0
HabCreate,connectivity,Land cover,,0,1,0,0
HabCreate,connectivity between grasslands,Land cover,,0,0,0,1
MaintainOpts,change in forest area,Land cover,,0,0,0,1
PestPath,area of riparian habitat,Land cover,,0,0,0,2
SoilProtect,fallow,Land cover,"maybe, also Exploitation/harvest",0,0,1,0
CulturePsych,crop land,Land use,maybe,0,0,1,0
Food,crop land,Land use,maybe,0,0,1,0
SoilProtect,crop land,Land use,maybe,0,0,2,0
Energy,biomass,Pathogens/natural enemies,,1,1,0,1
PestPath,Abundance of fungal pathogen,pathogens/natural enemies,,1,0,0,0
PestPath,arthropod removal by birds,Pathogens/natural enemies,,0,1,0,0
PestPath,Biological control by natural predators,Pathogens/natural enemies,,0,0,0,1
PestPath,biological control index,Pathogens/natural enemies,,0,1,0,0
PestPath,Biological control of aphid pests,Pathogens/natural enemies,,0,0,0,1
PestPath,biological control of pests,Pathogens/natural enemies,,0,1,0,0
PestPath,bird predation rates on plasticene insects,Pathogens/natural enemies,,0,0,0,1
PestPath,carrion consumption rate,Pathogens/natural enemies,,0,1,0,0
PestPath,CBB bean damage,Pathogens/natural enemies,,0,1,0,0
PestPath,CBB infestation,Pathogens/natural enemies,,0,1,0,0
PestPath,cereal leaf beetle density,Pathogens/natural enemies,,0,1,0,1
PestPath,cereal leaf beetle eggs,Pathogens/natural enemies,,0,1,0,1
PestPath,cereal leaf beetle larvae,Pathogens/natural enemies,,0,1,0,1
PestPath,crop damage,Pathogens/natural enemies,,0,1,0,1
PestPath,distribution of pest predators,Pathogens/natural enemies,,0,0,0,1
PestPath,E. coli levels,Pathogens/natural enemies,,0,0,0,1
PestPath,efficacy of beetle removal by Anole,Pathogens/natural enemies,,0,0,0,1
PestPath,Egg predation,Pathogens/natural enemies,,0,1,0,0
