EcoServ,Response,V1,EF,ES,no selection,Proxy for ES
HabCreate,coral rugosity,1,0,0,0,1
Hazards,coral rugosity,1,0,0,0,1
HabCreate,coral survival,1,1,0,0,0
Food,corn yield,1,0,1,0,0
Food,cover,1,1,0,0,0
PestPath,crop damage,0,0,1,0,1
CulturePsych,crop land,1,0,0,1,0
Food,crop land,1,0,0,1,0
SoilProtect,crop land,2,0,0,2,0
Food,crop production,2,0,1,0,1
Food,Crop production,2,0,1,1,0
Food,Crop revenue,1,0,1,0,0
Food,crop variation,1,0,0,1,0
Food,crop yield,4,0,4,0,0
Food,Crop yield,1,0,0,1,0
CulturePsych,cross country skiing,1,0,1,0,0
HabCreate,crustacean density,1,1,0,0,0
CulturePsych,cultural sites of First Nations,1,0,1,0,0
SoilProtect,Decomposition of leaf litter in freshwater systems,1,0,1,0,0
SoilProtect,decomposition rate,1,0,0,0,1
CulturePsych,decrease in spring litter,1,0,0,0,1
CulturePsych,deer hunting,1,0,1,0,0
coastWQReg,denitrification,1,1,0,0,0
PestPath,density of anole,1,0,0,0,1
SoilProtect,detrital P,1,0,0,0,1
SoilProtect,Detritivore feeding rate,1,0,0,0,1
ClimReg,Dilution and sequestration,1,0,1,0,0
HabCreate,dimensionless flow velocity,1,1,0,0,0
HabCreate,discharge,1,1,0,0,0
HabCreate,dispersal distance,1,1,0,0,0
AQReg,dissolved gasses,1,0,1,0,0
coastWQReg,dissolved solids,1,1,0,0,0
CulturePsych,distance traveled to visit lakes,1,0,1,0,0
PestPath,distribution of pest predators,1,0,0,0,1
CulturePsych,Disturbance (artificial light,1,0,0,0,1
CulturePsych,dive tourism,1,0,1,0,0
Pollination,diversity,1,0,0,0,1
coastWQReg,diversity of algal and bacterial communities,1,0,0,0,1
coastWQReg,downstream,1,0,0,1,0
HabCreate,dune height,1,0,0,0,1
PestPath,dung decomposition,1,0,0,0,1
SoilProtect,dung decomposition,2,0,1,0,1
SoilProtect,Dung decomposition,1,1,0,0,0
PestPath,dung removal,1,0,1,0,0
SoilProtect,dung removal rate,1,0,1,0,0
PestPath,dung-decomposing beetle diversity and abundance,1,1,0,0,0
SoilProtect,dung-decomposing beetle diversity and abundance,1,1,0,0,0
PestPath,E. coli levels,1,0,0,0,1
Food,ear mass,1,0,0,0,1
SoilProtect,earthworm abundance,0,1,0,0,1
SoilProtect,earthworm density,1,0,0,0,1
SoilProtect,earthworm functional traits,1,0,0,0,1
SoilProtect,Earthworm physical properties,1,0,0,0,1
coastWQReg,ecologic water quality,1,0,0,0,1
HabCreate,ecological priority areas,1,0,1,0,0
Food,ecological vulnerability,1,0,0,0,1
AQReg,ecologically effective area,1,0,0,0,1
ClimReg,ecosystem carbon exchange,0,0,1,0,1
MaintainOpts,ecosystem functionality,1,0,0,0,1
MaintainOpts,ecosystem integrity,1,0,0,0,1
HabCreate,Ecosystem stability,1,0,1,0,0
Food,Edible mushroom yield,1,0,1,0,0
CulturePsych,effect on estate value,1,0,1,0,0
PestPath,efficacy of beetle removal by Anole,1,0,0,0,1
PestPath,Egg predation,1,0,1,0,0
HabCreate,energy flow,1,0,0,0,1
HabCreate,environmental quality,1,0,0,0,1
ClimReg,ER,1,0,0,1,0
SoilProtect,erosion,1,1,0,0,0
SoilProtect,erosion control,1,0,1,0,0
SoilProtect,erosion control capacity,1,0,0,0,1
SoilProtect,erosion mitigation,1,0,1,0,0
SoilProtect,Erosion modulus,1,0,1,0,0
freshWQReg,evapotranspiration,2,1,0,0,1
CulturePsych,evolution of populations,1,0,0,0,1
MaintainOpts,evolutionary rarity,1,1,0,0,0
