EcoServ,Response,EF,ES,no selection,Proxy for ES,Key.word,Notes,response_finer,rf2
PestPath,bird predation rates on plasticene insects,0,0,0,1,Pathogens/natural enemies,,pathogens/natural enemies,pathogens/natural enemies
PestPath,bird species density,0,1,0,0,service provider abundance,,service provider abundance,service provider abundance
PestPath,bird species richness,0,1,0,0,service provider diversity/richness/composition,,service provider species biodiversity,service provider species biodiversity
CulturePsych,birding experience (satisfaction),0,0,1,0,Characteristics of human population,,characteristics of human population,characteristics of human population
Food,black duck hunting,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Pollination,blueberry flower visitation,0,1,0,0,Pollination,,pollination,pollination
coastWQReg,BOD,0,0,0,1,Characteristics of the landscape: aquatic,"no idea, maybe biochemical oxygen demand",abiotic characteristics of the landscape: aquatic,abiotic characteristics of the landscape: aquatic
ClimReg,Broader habitat type,0,0,0,1,Habitat,,habitat,habitat
HabCreate,Broader habitat type,0,0,0,1,Habitat,,habitat,habitat
Hazards,Broader habitat type,0,0,0,1,Habitat,,habitat,habitat
MedGen,Broader habitat type,0,0,0,1,Habitat,,habitat,habitat
Food,brook trout angling,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
freshWQReg,bryophyte biomass,0,0,0,1,Productivity,,productivity,productivity
freshWQReg,bryophyte water holding capacity,0,0,0,1,Service provider function/functional traits,new category or could be Biotic characteristics of the landscape: aquatic,service provider functional biodiversity and traits,service provider functional biodiversity and traits
SoilProtect,burrow density,1,0,0,0,service provider abundance,,service provider abundance,service provider abundance
SoilProtect,burrow opening diameter,1,0,0,0,Characteristics of the plot,maybe Biotic characteristics of the landscape: terrestrial,characteristics of the plot,characteristics of the plot
Pollination,butterfly presence/abundance,0,0,1,0,service provider abundance,,service provider abundance,service provider abundance
ClimReg,C fixation and O2 releasing,0,1,0,0,Productivity,,productivity,productivity
ClimReg,C storage,0,1,0,0,Productivity,,productivity,productivity
SoilProtect,C:N ratio,0,0,0,1,Soil characteristics,,soil physiochemical characteristics,soil physiochemical characteristics
SoilProtect,Ca-P,0,0,0,1,Soil characteristics,,soil physiochemical characteristics,soil physiochemical characteristics
ClimReg,canopy biomass,0,0,0,1,Productivity,,productivity,productivity
ClimReg,canopy carbon,0,0,0,1,Carbon,,carbon,carbon
Hazards,Capacity of fragment regeneration,0,0,0,1,,no idea,,TEST_VALUE
ClimReg,Carbon Capture,0,1,0,0,Carbon,,carbon,carbon
SoilProtect,Carbon cycling,0,1,0,0,,,,carbon
ClimReg,Carbon cycling (measured by enzyme activity),1,0,0,0,Carbon,,carbon,carbon
ClimReg,carbon emissions,0,0,0,1,Carbon,,carbon,carbon
ClimReg,carbon fluxes,0,0,0,1,Carbon,,carbon,carbon
ClimReg,carbon gain,0,1,0,0,Carbon,,carbon,carbon
ClimReg,carbon in trees per area,0,1,0,0,Carbon,,carbon,carbon
ClimReg,carbon per area,0,1,0,0,Carbon,,carbon,carbon
ClimReg,Carbon per tree,0,1,0,0,Carbon,,carbon,carbon
ClimReg,carbon seq. CO2 equivalent,0,1,0,0,Carbon,,carbon,carbon
OceanReg,carbon sequestation,0,1,0,0,Carbon,,carbon,carbon
ClimReg,carbon sequestration,0,2,1,2,Carbon,,carbon,carbon
ClimReg,Carbon sequestration,1,0,1,0,Carbon,,carbon,carbon
ClimReg,carbon sequestration in soils and biomass,0,1,0,0,Carbon,,carbon,carbon
ClimReg,carbon stock,0,2,0,0,Carbon,,carbon,carbon
ClimReg,Carbon stock,1,0,0,1,Carbon,,carbon,carbon
ClimReg,Carbon stocks,0,1,0,0,Carbon,,carbon,carbon
