ES,yclass,yresponse,count
freshWQReg,ES,flood control,1
Hazards,ES,flood mitigation,1
Hazards,ES,flood regulation,1
Food,ES,flor,1
CulturePsych,ES,flora and fauna,1
HabCreate,EF,floral cover,1
Pollination,ES,flower visits,1
AQReg,Proxy for ES,fluorescence),1
Food,EF,food,1
Food,ES,food,1
Food,NA,food cultivation area,1
Food,ES,food production,1
Food,ES,food supply,1
Food,ES,forage production,1
CulturePsych,NA,forest,1
coastWQReg,NA,forest,1
freshWQReg,NA,forest,1
SoilProtect,NA,forest,1
ClimReg,ES,forest floor carbon pool,1
ClimReg,Proxy for ES,forest floor carbon pool,1
Materials,ES,forest productivity,1
Materials,ES,forest products,1
coastWQReg,Proxy for ES,forest recovery,1
HabCreate,EF,forest understory plant survivorship,1
Materials,ES,forest yield,1
coastWQReg,ES,freshwater,1
coastWQReg,Proxy for ES,freshwater metabolism,1
ClimReg,Proxy for ES,freshwater metabolism,1
Food,ES,freshwater plants and animals,1
Food,Proxy for ES,fruit quality,1
Pollination,EF,fruit set,1
Food,EF,fruit set,1
Pollination,ES,fruit set,1
Food,Proxy for ES,fruit weight,1
Pollination,Proxy for ES,functional dispersion,1
Pollination,Proxy for ES,functional diveristy,1
PestPath,Proxy for ES,functional diveristy,1
Pollination,Proxy for ES,functional evenness,1
SoilProtect,EF,fungal abundance,1
Food,ES,fungi,1
HabCreate,Proxy for ES,game fish habitat suitability index,1
CulturePsych,Proxy for ES,garden-design,1
AQReg,EF,gas regulation,1
AQReg,ES,gas regulation,1
Food,NA,genera richness,1
CulturePsych,Proxy for ES,generation of scientific knowledge,1
ClimReg,NA,gpp,1
Food,ES,grain production,1
Food,NA,grain production,1
Food,Proxy for ES,grain weight (tonnes per hectare per plot),1
CulturePsych,Proxy for ES,grass for hay,1
Food,Proxy for ES,grass nutritional value,1
CulturePsych,Proxy for ES,gravimetric soil water,1
ClimReg,ES,greenhouse gas value,1
freshWQReg,EF,groundwater exchange,1
freshWQReg,Proxy for ES,groundwater quantity,1
HabCreate,Proxy for ES,growth form),1
Hazards,Proxy for ES,growth form),1
coastWQReg,EF,growth of dry soft tissue,1
Food,EF,growth of dry soft tissue,1
coastWQReg,EF,growth of shell length,1
Food,EF,growth of shell length,1
ClimReg,EF,growth rates,1
HabCreate,ES,habitat,1
MaintainOpts,Proxy for ES,habitat assessment score,1
HabCreate,Proxy for ES,habitat capability index,1
HabCreate,EF,habitat connectivity,1
HabCreate,ES,habitat connectivity,1
HabCreate,Proxy for ES,habitat cover,1
HabCreate,ES,habitat maintenance,1
HabCreate,Proxy for ES,habitat patch size,1
HabCreate,ES,habitat provision,1
HabCreate,EF,habitat quality,1
HabCreate,ES,habitat quality,1
HabCreate,Proxy for ES,habitat quality,1
HabCreate,NA,habitat quality,1
HabCreate,EF,habitat sensitivity,1
Materials,ES,harvestable timber,1
CulturePsych,ES,health deprivation,1
CulturePsych,ES,horseback riding,1
CulturePsych,Proxy for ES,human and agricultural water consumption(access),1
CulturePsych,Proxy for ES,human disease prevalence(6+types),1
CulturePsych,ES,human perception,1
Pollination,Proxy for ES,hummingbird movement,1
Energy,ES,hydro-energy potential,1
freshWQReg,Proxy for ES,hydrologic function score (rangeland health assessment),1
freshWQReg,EF,hydrologic regime,1
SoilProtect,ES,impact intensity (tons of soil),1
MaintainOpts,EF,index of rarity,1
Energy,EF,indicators (12 different indices),1
MaintainOpts,ES,indicators (12 different indices),1
Energy,ES,indicators (12 different indices),1
CulturePsych,ES,information and knowledge,1
Food,ES,inland fisheries yields,1
SoilProtect,ES,inorganic n supply,1
HabCreate,ES,insect pollinated plants,1
PestPath,EF,invasion resistance,1
PestPath,NA,invasive species cover,1
MaintainOpts,EF,invertebrate abundances,1
PestPath,Proxy for ES,invertebrate biodiversity,1
coastWQReg,Proxy for ES,invertebrate community,1
MaintainOpts,EF,invertebrate traits,1
SoilProtect,Proxy for ES,k,1
CulturePsych,ES,lake visitation,1
CulturePsych,ES,landscape aesthetics,1
HabCreate,Proxy for ES,landscape heterogeneity,1
PestPath,Proxy for ES,larval dissappearance rates of pests,1
PestPath,ES,larval removal,1
CulturePsych,Proxy for ES,lawn furniture,1
coastWQReg,EF,leaf litter decomposition,1
Food,Proxy for ES,legume abundance,1
CulturePsych,ES,leisure hunting,1
SoilProtect,EF,litter biomass,1
coastWQReg,EF,litter consumption rates,1
SoilProtect,EF,litter decomposition,1
Food,ES,livestock and agriculture,1
Food,NA,livestock owned,1
Food,Proxy for ES,livestock production,1
ClimReg,Proxy for ES,loss of co2 from forest fires,1
HabCreate,Proxy for ES,macro invertebrate rayon richness and diversity,1
Food,ES,maple syrup,1
MedGen,ES,medicinal plant richness,1
MedGen,ES,medicinal plants,2
SoilProtect,Proxy for ES,mg,1
ClimReg,NA,mg c per ha,1
SoilProtect,EF,microbial basal respiration,1
SoilProtect,EF,microbial biomass,1
ClimReg,EF,microbial biomass,1
CulturePsych,ES,moose hunting,1
Food,ES,moose hunting,1
HabCreate,ES,multifunctional hotspots,1
SoilProtect,Proxy for ES,n,1
coastWQReg,NA,n and p excretion rates,1
ClimReg,ES,n avaliability,1
ClimReg,Proxy for ES,n avaliability,1
AQReg,Proxy for ES,n deposition,1
SoilProtect,Proxy for ES,n mineralisation rate,1
SoilProtect,EF,n mineralization rate,1
SoilProtect,ES,n retention,1
SoilProtect,EF,n storage,1
AQReg,ES,n storage,1
AQReg,ES,n2,1
SoilProtect,Proxy for ES,na),1
CulturePsych,ES,natural materials,1
CulturePsych,ES,nature appreciation,1
Pollination,Proxy for ES,nectar feeder biodiversity and abundance,1
ClimReg,ES,net c balance,1
ClimReg,NA,net oxygen production,1
ClimReg,NA,net primary production,1
ClimReg,Proxy for ES,net primary productivity,1
coastWQReg,NA,nitrate  spiraling rates,1
coastWQReg,ES,nitrate/nitrite/phosphorous/bod5/o2 concentrations in water,1
coastWQReg,Proxy for ES,nitrogen,1
coastWQReg,Proxy for ES,nitrogen and phosphorus retention,1
coastWQReg,Proxy for ES,nitrogen concentration,1
SoilProtect,ES,nitrogen retention,1
AQReg,Proxy for ES,nitrous oxide emission,1
AQReg,ES,nitrous oxide flux,1
AQReg,ES,no measurements,1
AQReg,Proxy for ES,no2 concentration levels,1
AQReg,Proxy for ES,no2 dry deposition velocity,1
coastWQReg,EF,no3-n concentrations,1
ClimReg,ES,npp,1
Food,ES,npp,1
PestPath,NA,number of borers,1
Food,Proxy for ES,number of cattle per hectare,1
MaintainOpts,Proxy for ES,number of invertabrates,1
CulturePsych,Proxy for ES,number of national reserves,1
Hazards,ES,number of people affected by floods,1
Pollination,ES,number of pollen grains deposited per flower,1
CulturePsych,ES,number of pots,1
Pollination,ES,number of pots,1
MedGen,ES,number of pots,1
HabCreate,ES,number of pots,1
Food,ES,number of pots,1
MaintainOpts,Proxy for ES,number of species 'in danger',1
Pollination,ES,number of visitors),1
SoilProtect,ES,nutrient provisioning,1
SoilProtect,ES,nutrient transformation and cycling,1
ClimReg,ES,nutrient use efficiency,1
ClimReg,Proxy for ES,nutrient use efficiency,1
Food,ES,open space,1
CulturePsych,NA,opnion,1
CulturePsych,NA,orchard,1
SoilProtect,NA,orchard,1
Food,NA,orchard,1
ClimReg,Proxy for ES,organic carbon,1
coastWQReg,Proxy for ES,organic matter,1
SoilProtect,Proxy for ES,organic matter content,1
SoilProtect,Proxy for ES,organic p,1
CulturePsych,ES,outdoor activities,1
CulturePsych,ES,outdoor rec,1
CulturePsych,ES,outdoor recreation,1
Food,ES,oyster density,1
SoilProtect,ES,p retention,1
Food,NA,paddy rice field,1
Food,Proxy for ES,palatability,1
Food,ES,palatable (to livestock) plant richness,1
PestPath,ES,parasitism rate,1
PestPath,Proxy for ES,parasitoid abundance,1
PestPath,Proxy for ES,parasitoids,1
freshWQReg,Proxy for ES,peak stream flows,1
SoilProtect,ES,pedogenesis and soil quality regulation,1
CulturePsych,Proxy for ES,people displacement,1
SoilProtect,Proxy for ES,per capita siderophore production,1
ClimReg,ES,percent carbon in soil by weight,1
ClimReg,EF,percent cover canopy,1
ClimReg,ES,percent cover canopy,1
ClimReg,EF,percent cover herbs,1
ClimReg,ES,percent cover herbs,1
ClimReg,EF,percent cover shrubs,1
ClimReg,ES,percent cover shrubs,1
Pollination,Proxy for ES,percent frequency of plants in feces,1
Pollination,Proxy for ES,percent germination of dispersed propagules,1
SoilProtect,ES,percent nitrogen in soil by weight,1
ClimReg,Proxy for ES,percent tree cover,1
PestPath,ES,pest,1
PestPath,ES,pest abundance,2
PestPath,ES,pest and disease control,1
PestPath,NA,pest attack rate,1
PestPath,NA,pest community composition,1
PestPath,Proxy for ES,pest diversity index,1
Food,Proxy for ES,pest load,1
PestPath,ES,pest parasitism,1
PestPath,NA,pest parasitism rate (i.e. biocontrol success),1
PestPath,ES,pest predation,1
PestPath,ES,pest regulation,1
ClimReg,EF,phosphatase activity,1
coastWQReg,Proxy for ES,phosphorous,1
coastWQReg,EF,phosphorus concentration,1
AQReg,Proxy for ES,photosynthesis (gas exchange,1
Hazards,ES,physical water quantity regulation,1
Food,ES,pigs,1
CulturePsych,Proxy for ES,plant biodiversity,1
Energy,EF,plant biomass,1
MaintainOpts,EF,plant community composition,1
HabCreate,EF,plant community composition,1
SoilProtect,Proxy for ES,plant density,1
MaintainOpts,ES,plant diversity,1
CulturePsych,Proxy for ES,plant diversity,1
HabCreate,Proxy for ES,plant diversity,1
MaintainOpts,ES,plant diversity maintenance,1
ClimReg,EF,plant productivity,1
Materials,EF,plant quality,1
MaintainOpts,Proxy for ES,plant species richness,1
SoilProtect,EF,plant-available n,1
Pollination,ES,pollen deposition (grains),1
Pollination,ES,pollination,1
Pollination,ES,pollination potential,1
Pollination,Proxy for ES,pollinator abbundance,1
Pollination,Proxy for ES,pollinator abundance,2
Pollination,ES,pollinator diversity,1
Pollination,Proxy for ES,pollinator diversity,1
Pollination,Proxy for ES,pollinator diversity index,1
Pollination,Proxy for ES,pollinator esp abundance,1
PestPath,Proxy for ES,pollinator esp abundance,1
Pollination,Proxy for ES,pollinator evenness,1
HabCreate,ES,pollinator habitat use,1
Pollination,Proxy for ES,pollinator presence,1
Pollination,Proxy for ES,pollinator richness,2
Pollination,Proxy for ES,pollinator species composition,1
Pollination,Proxy for ES,pollinator species richness,1
Pollination,Proxy for ES,pollinator taxonomic breadth,1
Pollination,ES,pollinator visitation (identity of pollinator,1
CulturePsych,ES,population carrier,1
Food,Proxy for ES,population density,1
HabCreate,ES,population stability,1
SoilProtect,Proxy for ES,pore water metal content,1
Food,ES,port and cattle,1
ClimReg,ES,potential carbon sequestration,1
SoilProtect,ES,potential erosion potential,1
HabCreate,ES,potential habitat function,1
HabCreate,EF,potential patch dispersal events,1
SoilProtect,ES,pre-rill erosion %,1
PestPath,ES,predation index,1
PestPath,ES,predation rate,1
PestPath,ES,predator abundance,1
PestPath,Proxy for ES,predator diet,1
PestPath,Proxy for ES,predator movement from non-crop to crop vegetation,1
CulturePsych,Proxy for ES,presence of argali sheep,1
CulturePsych,ES,presence of land cover types preferred by people via survey,1
CulturePsych,ES,presence of the environment,1
PestPath,Proxy for ES,prey diversity for otters,1
CulturePsych,Proxy for ES,probability of stocking,1
HabCreate,EF,production sensitivity,1
SoilProtect,ES,proportion of buried cotton fabric decomposed,1
SoilProtect,ES,proportion of buried leaf litter decomposed,1
PestPath,ES,proportion of leaves damaged by insects,1
Food,Proxy for ES,proportion of non-declining exploited species of fish,1
PestPath,ES,proportion of predated colorado potato beetle eggs,1
Food,Proxy for ES,proportion of site area cultivated for food,1
MaintainOpts,ES,protected plant species,1
MaintainOpts,ES,protected vertebrate species,1
SoilProtect,ES,protection against rockfalls,1
PestPath,NA,ranchers' assessment of effectiveness of invasive species control,1
CulturePsych,NA,range farm,1
Food,NA,range farm,1
PestPath,ES,ratio of aphid growth with and without predators,1
Materials,EF,raw material,1
Materials,ES,raw material,1
MaintainOpts,ES,recovery debt,1
CulturePsych,ES,recreation and community activities,1
CulturePsych,EF,recreation and culture,1
CulturePsych,ES,recreation and culture,1
CulturePsych,ES,recreation and ecotourism,1
CulturePsych,Proxy for ES,recreation capacity,1
CulturePsych,ES,recreation potential,1
CulturePsych,ES,recreation value,1
CulturePsych,Proxy for ES,recreational demand,1
CulturePsych,Proxy for ES,recreational potential,1
CulturePsych,ES,recreational value,1
PestPath,ES,reduction of coffee berry borer (cbb) presence,1
HabCreate,ES,regeneration potential,1
freshWQReg,ES,reservoir volume,1
PestPath,EF,residential propagule pressure,1
SoilProtect,ES,resiliance,1
CulturePsych,Proxy for ES,resiliance,1
HabCreate,Proxy for ES,resiliance,1
SoilProtect,Proxy for ES,resiliance,1
Food,Proxy for ES,resiliance,1
HabCreate,ES,restoration potential,1
HabCreate,NA,restored significance,1
MaintainOpts,EF,richness,1
Pollination,ES,richness,1
SoilProtect,ES,rill erosion %,1
HabCreate,NA,riparian canopy density,1
HabCreate,NA,riparian canopy width,1
CulturePsych,NA,riparian wetland,1
coastWQReg,NA,riparian wetland,1
SoilProtect,NA,riparian wetland,1
Food,ES,risk-adjusted performance of chinook and sockey salmon fisheries,1
SoilProtect,EF,root biomass,1
ClimReg,EF,root biomass,1
ClimReg,ES,root biomass,1
ClimReg,Proxy for ES,root biomass,1
SoilProtect,ES,root mass,1
coastWQReg,ES,running water quality,1
coastWQReg,ES,runoff coefficient,1
freshWQReg,Proxy for ES,runoff coefficient (runoff/rainfall),1
AQReg,Proxy for ES,s depositon,1
Food,ES,salmon angling,1
SoilProtect,NA,sand fixation,1
Materials,Proxy for ES,sand/gravel companies and production,1
freshWQReg,Proxy for ES,sap flow,1
ClimReg,EF,secondary forest fire tolerance,1
SoilProtect,ES,sediment retention,1
coastWQReg,ES,sediment yield,1
Pollination,Proxy for ES,seed abundance,1
HabCreate,EF,seed deposition,1
Pollination,ES,seed dispersal,1
Pollination,EF,seed dispersal distance,1
Pollination,ES,seed dispersal shadow size,1
PestPath,Proxy for ES,seed feeding insects,1
Food,Proxy for ES,seed mass,1
HabCreate,EF,seed persistence,1
Pollination,EF,seed removal,1
Pollination,EF,seed set,1
Food,EF,seed set,1
Pollination,ES,seed set,1
